row_data,col_data,row_model,col_model
264,158,264,158
265,159,265,158
266,159,266,158
267,159,267,159
268,160,268,159
269,160,269,159
270,160,270,160
271,160,271,160
272,161,272,160
273,161,273,161
274,161,274,161
275,162,275,161
276,162,276,162
277,162,277,162
278,163,278,162
279,163,279,163
280,163,280,163
281,164,281,163
282,164,282,164
283,165,283,164
284,165,284,164
285,165,285,165
286,166,286,165
240,150,240,150
241,150,241,150
242,151,242,150
243,151,243,151
244,151,244,151
245,152,245,151
246,152,246,152
247,152,247,152
248,153,248,152
249,153,249,153
250,153,250,153
251,154,251,153
252,154,252,154
253,154,253,154
254,155,254,154
255,155,255,155
256,155,256,155
257,156,257,155
258,156,258,156
259,157,259,156
260,157,260,156
261,157,261,157
262,158,262,157
263,158,263,157
219,143,219,143
220,144,220,143
221,144,221,143
222,144,222,144
223,145,223,144
224,145,224,144
225,145,225,145
226,146,226,145
227,146,227,145
228,146,228,146
229,147,229,146
230,147,230,146
231,147,231,147
232,148,232,147
233,148,233,147
234,148,234,148
235,148,235,148
236,149,236,148
237,149,237,149
238,149,238,149
239,150,239,149
